"Attribute","ValueDecode"
COLOUR,1;white;2;black;3;red;4;green;5;blue;6;yellow;7;grey;8;brown;9;amber,10,violet,11;orange;12;magenta;13;pink
COLPAT,1;horizontal stripes;2;vertical stripes;3;diagonal stripes;4;squared;5;stripes (direction unknown);6;border stripe
BUISHP,1;no specific shape;2;tower;3;spire;4;cupola (dome);5;high-rise building;6;pyramid;7;cylindrical;8;spherical;9;cubic
CATACH,1;unrestricted anchorage;2;deep water anchorage;3;tanker anchorage;4;explosives anchorage;5;quarantine anchorage;6;sea-plane anchorage;7;small craft anchorage;8;small craft mooring area;9;anchorage for periods up to 24 hours,10,anchorage for a limited period of time
CATBUA,1;urban area;2;settlement;3;village;4;town;5;city;6;holiday village
CATCAM,1;north cardinal mark;2;east cardinal mark;3;south cardinal mark;4;west cardinal mark
CATCHP,1;custom
CATCOA,1;steep coast;2;flat coast;3;sandy shore;4;stony shore;5;shingly shore;6;glacier (seaward end);7;mangrove;8;marshy shore;9;coral reef,10,ice coast,11;shelly shore
CATCTR,1;triangulation point;2;observation spot;3;fixed point;4;bench-mark;5;boundary mark;6;horizontal control, main station;7;horizontal control, secondary station
CATCON,1;aerial cableway (telepheric);2;belt conveyor
CATCOV,1;coverage available;2;no coverage available
CATCRN,1;crane without specific construction;2;container crane/gantry;3;sheerlegs;4;travelling crane;5;A-frame
CATDOC,1;tidal;2;non-tidal (wet dock)
CATDPG,1;general dumping ground;2;chemical waste dumping ground;3;nuclear waste dumping ground;4;explosives dumping ground;5;spoil ground;6;vessel dumping ground
CATFNC,1;fence;2;muir;3;hedge;4;wall
CATFIF,1;fishing stake;2;fish trap;3;fish weir;4;tunny net
CATFOG,1;explosive;2;diaphone;3;siren;4;nautophone;5;reed;6;tyfon;7;bell;8;whistle;9;gong,10,horn
CATFOR,1;castle;2;fort;3;battery;4;blockhouse;5;Martello tower;6;redoubt
CATGAT,1;gate in general;2;flood barrage gate;3;caisson;4;lock gate;5;dyke gate;6;sluice
CATHAF,1;RoRo-terminal;2;timber yard;3;ferry terminal;4;fishing harbour;5;yacht harbour/marina;6;naval base;7;tanker terminal;8;passenger terminal;9;shipyard,10,container terminal,11;bulk terminal;12;syncrolift;13;straddle carrier
CATHLK,1;floating restaurant;2;historic ship;3;museum;4;accommodation;5;floating breakwater
CATICE,1;fast ice;2;sea ice;3;growler area;4;pancake ice;5;glacier;6;ice peak;7;pack ice;8;polar ice
CATLND,1;fen;2;marsh;3;moor/bog;4;heathland;5;mountain range;6;lowlands;7;canyon lands;8;paddy field;9;agricultural land,10,savanna/grassland,11;parkland;12;swamp;13;landslide;14;lava flow;15;salt pan;16;moraine;17;crater;18;cave;19;rock column or pinnacle,20,cay
CATLMK,1;cairn;2;cemetery;3;chimney;4;dish aerial;5;flagstaff (flagpole);6;flare stack;7;mast;8;windsock;9;monument,10,column (pillar),11;memorial plaque;12;obelisk;13;statue;14;cross;15;dome;16;radar scanner;17;tower;18;windmill;19;windmotor,20,spire/minaret,21;large rock or boulder on land
CATLIT,1;directional function;2;rear/upper light;3;front/lower light;4;leading light;5;aero light;6;air obstruction light;7;fog detector light;8;flood light;9;strip light;10;subsidiary light;11;spotlight;12;front;13;rear;14;lower;15;upper;16;moire effect;17;emergency;18;bearing light;19;horizontally disposed;20;vertically disposed
CATMFA,1;crustaceans;2;oysters/mussels;3;fish;4;seaweed;5;pearl culture farm
CATMPA,1;practice area in general;2;torpedo exercise area;3;submarine exercise area;4;firing danger area;5;mine-laying practice area;6;small arms firing range
CATMOR,1;dolphin;2;deviation dolphin;3;bollard;4;tie-up wall;5;post or pile;6;chain/wire/cable;7;mooring buoy
CATNAV,1;clearing line;2;transit line;3;leading line bearing a recommended track
CATOBS,1;snag/stump;2;wellhead;3;diffuser;4;crib;5;fish haven;6;foul area;7;foul ground;8;ice boom;9;ground tackle,10,boom
CATOFP,1;oil derrick/rig;2;production platform;3;observation/research platform;4;articulated loading platform (ALP);5;single anchor leg mooring (SALM);6;mooring tower;7;artificial island;8;floating production, storage and off-loading vessel (FPSO);9;accommodation platform,10,navigation, communication and control buoy (NCCB)
CATPLE,1;stake;2;snag;3;post;4;tripodal
CATPIL,1;boarding by pilot-cruising vessel;2;boarding by helicopter;3;pilot comes out from shore
CATPRA,1;quarry;2;mine;3;stockpile;4;power station area;5;refinery area;6;timber yard;7;factory area;8;tank farm;9;wind farm,10,slag heap/spoil heap
CATPYL,1;power transmission pylon/pole;2;telephone/telegraph pylon/pole;3;aerial cableway/sky pylon;4;bridge pylon/tower;5;bridge pier
CATRTB,1;ramark, radar beacon transmitting continuously;2;racon, radar transponder beacon;3;leading racon/radar transponder beacon
CATROS,1;circular (non-directional) marine or,aero-marine radiobeacon;2;directional radiobeacon;3;rotating-pattern radiobeacon;4;Consol beacon;5;radio direction-finding station;6;coast radio station providing QTG service;7;aeronautical radiobeacon;8;Decca;9;Loran C,10,Differential GPS,11;Toran;12;Omega;13;Syledis;14;Chaika (Chayka)
CATTRK,1;based on a system of fixed marks;2;not based on a system of fixed marks
CATRSC,1;rescue station with lifeboat;2;rescue station with rocket;3;rescue station with lifeboat and rocket;4;refuge for shipwrecked mariners;5;refuge for intertidal area walkers;6;lifeboat lying at a mooring;7;aid radio station;8;first aid equipment
CATREA,1;offshore safety zone;2;anchoring prohibition area;3;fishing prohibition area;4;nature reserve;5;bird sanctuary;6;game reserve;7;seal sanctuary;8;degaussing range;9;military area,10,historic wreck area,11;inshore traffic zone;12;navigational aid safety zone;13;danger of stranding area;14;minefield;15;diving prohibition area;16;area to be avoided;17;Prohibited area;18;swimming area;19;waiting area,20,research area,21;dredging area,22,fish sanctuary,23,ecological reserve,24,no wake area,25,swinging area,26,water skiing area
CATROD,1;motorway;2;major road;3;minor road;4;track/path;5;major street;6;minor street;7;crossing
CATRUN,1;aeroplane runway;2;helicopter landing pad
CATSEA,1;sea area in general;2;gat;3;bank;4;deep;5;bay;6;trench;7;basin;8;mud flats;9;reef;10;ledge;11;canyon;12;narrows;13;shoal;14;knoll;15;ridge;16;seamount;17;pinnacle;18;abyssal plain;19;plateau;20;spur;21;shelf;22;trough;23;saddle;24;abyssal hills;25;apron;26;archipelagic apron;27;borderland;28;continental margin;29;continental rise;30;escarpment;31;fan;32;fracture zone;33;gap;34;guyot;35;hill;36;hole;37;levee;38;median valley;39;moat;40;mountains;41;peak;42;province;43;rise;44;sea channel;45;seamount chain;46;shelf-edge;47;sill;48;slope;49;terrace;50;valley;51;canal;52;lake;53;river;54;reach
CATSLC,1;breakwater;2;groyne (groin);3;mole;4;pier (jetty);5;promenade pier;6;wharf (quay);7;training wall;8;rip rap;9;revetment;10;sea wall;11;landing steps;12;ramp;13;slipway;14;fender;15;solid face wharf;16;open face wharf;17;log ramp
CATSIT,1;port control;2;port entry and departure;3;International Port Traffic;4;berthing;5;dock;6;lock;7;flood barrage;8;bridge passage;9;dredging,10,traffic control light
CATSIW,1;danger;2;maritime obstruction;3;cable;4;military practice;5;distress;6;weather;7;storm;8;ice;9;time,10,tide,11;tidal stream;12;tide gauge;13;tide scale;14;diving;15;water level gauge
CATSIL,1;silo in general;2;tank in general;3;grain elevator;4;water tower
CATSLO,1;cutting;2;embankment;3;dune;4;hill;5;pingo;6;cliff;7;scree
CATSCF,1;visitor berth;2;nautical club;3;boat hoist;4;sailmaker;5;boatyard;6;public inn;7;restaurant;8;chandler;9;provisions,10,doctor,11;pharmacy;12;water tap;13;fuel station;14;electricity;15;bottle gas;16;showers;17;launderette;18;public toilets;19;post box,20,public telephone,21;refuse bin,22,car park,23,parking for boats and trailers,24,caravan site,25,camping site,26,sewerage pump-out station,27,emergency telephone,28,landing/launching place for boats,29,visitors mooring,30,scrubbing berth,31;picnic area,32,mechanics workshop,33,guard and/or security service
CATSPM,1;firing danger area mark;2;target mark;3;marker ship mark;4;degaussing range mark;5;barge mark;6;cable mark;7;spoil ground mark;8;outfall mark;9;ODAS (Ocean-Data-Acquisition-System);10;recording mark;11;seaplane anchorage mark;12;recreation zone mark;13;private mark;14;mooring mark;15;LANBY (Large Automatic Navigational Buoy);16;leading mark;17;measured distance mark;18;notice mark;19;TSS mark (Traffic Separation Scheme);20;anchoring prohibited mark;21;berthing prohibited mark;22;overtaking prohibited mark;23;two-way traffic prohibited mark;24;reduced wake mark;25;speed limit mark;26;stop mark;27;general warning mark;28;sound ship siren mark;29;restricted vertical clearance mark;30;maximum vessel draught mark;31;restricted horizontal clearance mark;32;strong current warning mark;33;berthing permitted mark;34;overhead power cable mark;35;channel edge gradient mark;36;telephone mark;37;ferry crossing mark;38;marine traffic lights;39;pipeline mark;40;anchorage mark;41;clearing mark;42;control mark;43;diving mark;44;refuge beacon;45;foul ground mark;46;yachting mark;47;heliport mark;48;GPS mark;49;seaplane landing mark;50;entry prohibited mark;51;work in progress mark;52;mark with unknown purpose;53;wellhead mark;54;channel separation mark;55;marine farm mark;56;artificial reef mark
CAT_TS,1;flood stream;2;ebb stream;3;Other tidal flow
CATTSS,1;IMO - adopted;2;not IMO - adopted
CATVEG,1;grass;2;paddy field;3;bush;4;deciduous wood;5;coniferous wood;6;wood in general (inc mixed wood);7;mangroves;8;park;9;parkland,10,mixed crops,11;reed;12;moss;13;tree in general;14;evergreen tree;15;coniferous tree;16;palm tree;17;nipa palm tree;18;casuarina tree;19;eucalypt tree,20,deciduous tree,21;mangrove tree,22,filao tree
CATWAT,1;breakers;2;eddies;3;overfalls;4;tide rips;5;bombora
CATWED,1;kelp;2;sea weed;3;sea grass;4;saragasso
CATWRK,1;non-dangerous wreck;2;dangerous wreck;3;distributed remains of wreck;4;wreck showing mast/masts;5;wreck showing any portion of hull or superstructure
CONRAD,1;radar conspicuous;2;not radar conspicuous;3;radar conspicuous (has radar reflector)
BOYSHP,1;conical (nun);2;can (cylindrical);3;spherical;4;pillar;5;spar (spindle);6;barrel (tun);7;super-buoy;8;ice buoy
CATAIR,1;military aeroplane airport;2;civil aeroplane airport;3;military heliport;4;civil heliport;5;glider arifield;6;small planes airfield;8;emergency airfield
CATBUA,1;urban area;2;settlement;3;village;4;town;5;city;6;holiday village
CATBRG,1;fixed bridge;2;opening bridge;3;swing bridge;4;lifting bridge;5;bascule bridge;6;pontoon bridge;7;draw bridge;8;transporter bridge;9;footbridge,10,viaduct,11;aqueduct;12;suspension bridge
CATCAN,1;transportation;2;drainage;3;irrigation
CATCBL,1;power line;2;telephone/telegraph;3;transmission line;4;telephone;5;telegraph;6;mooring cable/chain
CATDAM,1;weir;2;dam;3;flood barrage
CATDIS,1;distance mark not physically installed;2;visible mark pole;3;visible mark board;4;visible mark unknown shape
CATFRY,1;"free moving" ferry;2;cable ferry;3;ice ferry
CATGAT,1;gate in general;2;flood barrage gate;3;caisson;4;lock gate;5;dyke gate;6;sluice
CATLAM,1;port-hand lateral mark;2;starboard-hand lateral mark;3;preferred channel to starboard lateral mark;4;preferred channel to port lateral mark
CATLIT,1;directional function;2;rear/upper light;3;front/lower light;4;leading light;5;aero light;6;air obstruction light;7;fog detector light;8;flood light;9;strip light;10;subsidiary light;11;spotlight;12;front;13;rear;14;lower;15;upper;16;moire effect;17;emergency;18;bearing light;19;horizontally disposed;20;vertically disposed
CATMOR,1;dolphin;2;deviation dolphin;3;bollard;4;tie-up wall;5;post or pile;6;chain/wire/cable;7;mooring buoy
CATNAV,1;clearing line;2;transit line;3;leading line bearing a recommended track
CATOBS,1;snag/stump;2;wellhead;3;diffuser;4;crib;5;fish haven;6;foul area;7;foul ground;8;ice boom;9;ground tackle,10,boom
CATPIP 2,outfall pipe;3;intake pipe;4;sewer;5;bubbler system;6;supply pipe
CATPYL,1;power transmission pylon/pole;2;telephone/telegraph pylon/pole;3;aerial cableway/sky pylon;4;bridge pylon/tower;5;bridge pier
CATREA,1;offshore saftey zone;4;nature reserve;5;bird sanctuary;6;game reserve;7;seal sanctuary;8;degaussing range;9;military area,10,historic wreck area;12;navigational aid safety zone;14;minefield;18;swimming area;19;waiting area;20;research area;21;dredging area;22;fish sanctuary;23;ecological reserve;24;no wake area;25;swinging area;26;water skiiing area
CATROD,1;motorway;2;major road;3;minor road;4;track/path;5;major street;6;minor street;7;crossing
CATSIW,1;danger;2;maritime obstruction;3;cable;4;military practice;5;distress;6;weather;7;storm;8;ice;9;time,10,tide,11;tidal stream;12;tide gauge;13;tide scale;14;diving;15;water level gauge
CATSLC,1;breakwater;2;groyne;3;mole;4;pier (jetty);5;promenade pier;6;wharf;7;training wall;8;rip rap;9;revetment,10,sea wall,11;landing steps;12;ramp;13;slipway;14;fender;15;solid face wharf;16;open face wharf;17;log ramp
CATSLO,1;cutting;2;embankment;3;dune;4;hill;5;pingo;6;cliff;7;scree
CATSPM,42;control mark;45;foul ground mark
CATTRK,1;based on a system of fixed marks;2;not based on a system of fixed marks
CATWRK,1;non-dangerous wreck;2;dangerous wreck;3;distributed remains of wreck;4;wreck showing mast(s);5;wreck showing any portion of hull or superstructure
CONVIS,1;visually conspicuous;2;not visually conspicuous
LITCHR,1;fixed;2;flashing;3;long-flashing;4;quick flashing;5;very quick flashing;6;ultra quick flashing;7;isophased;8;occulting;9;interrupted quick flashing,10,interrupted very quick flashing,11;interrupted ultra-quick flashing;12;morse;13;fixed/flash;14;flash/long-flash;15;occulting;16;fixed/long flash;17;occulting;18;long-flash;19;flash,20,group,25,quick flash,26,very quick flash,27,ultra quick flash,28,alternating,29,fixed and alternating flashing
NATCON,1;masonry;2;concreted;3;loose boulders;4;hard surfaced;5;unsurfaced;6;wooden;7;metal;8;glass reinforced plastic;9;painted
PRODCT,1 oil;2;gas;3;water;4;stone;5;coal;6;ore;7;chemicals;8;drinking water;9;milk,10,bauxite,11;coke;12;iron ingots;13;salt;14;sand;15;timber;16;sawdust/woodchips;17;scrap metal;18;liquified natural gas;19;liquified petroleum gas,20,wine,21;cement,22,grain
QUASOU,1;depth known;2;depth unknown;3;doubtful sounding;4;unreliable sounding;5;no bottom found at value shown;6;least depth known;7;least depth unknown; safe clearance at value shown;8;value reported (not surveyed);9;value reported (not confirmed),10,maintained depth,11;not regularly maintained
RESTRN,1;anchoring prohibited;2;anchoring restricted;3;fishing prohibited;4;fishing restricted;5;trawling prohibited;6;trawling restricted;7;entry prohibited;8;entry restricted;9;dredging prohibited;10;dredging restricted;11;diving prohibited;12;diving restricted;13;no wake;14;area to be avoided;15;construction prohibited;16;discharging prohibited;17;discharging restricted;18;industrial or mineral exploration/development prohibited;19;industrial or mineral exploration/development restricted;20;drilling prohibited;21;drilling rstricted;22;removal of historical artifacts prohibited;23;cargo transshipment (lightering) prohibited;24;dragging prohibted;25;stopping prohibited;26;landing prohibited;27;speed restricted
TOPSHP,12;rhombus;19;square;24;triangle point up
TRAFIC,1;inbound;2;outbbound;3;one-way;4;two-way
WATLEV,1;partly submerged at high water;2;always dry;3;always under water/submerged;4;covers and uncovers;5;awash;6;subject to inundation or flooding;7;floating
BCNSHP,1;Stake. Pole. Perch. Post;2;Withy;3;BeaconTower;4;Lattice Beacon;5;Pile Beacon;6;Cairn;7;Bouyant Beacon
